time_of_build_graph(sec),time_of_algo(sec),#comm,modularity,NMI
5.8e-05,0.000178,2,0.366453,1
5e-05,0.000126,1,0.111769,0
5.1e-05,0.000264,2,0.360618,0.83717
4.8e-05,0.000215,2,0.366453,1
4.9e-05,0.000134,2,0.366453,1
5e-05,0.000211,2,0.366453,1
6.1e-05,0.00014,2,0.366453,1
5.4e-05,0.000148,2,0.366453,1
5.3e-05,0.000139,2,0.366453,1
5.3e-05,0.00014,2,0.366453,1
5.2e-05,0.000205,2,0.366453,1
5.5e-05,0.000204,2,0.366453,1
5.9e-05,0.000247,2,0.366453,1
6.6e-05,0.000254,1,0.111769,0
6.7e-05,0.000183,2,0.366453,1
6.3e-05,0.000157,2,0.330703,0.836498
5.7e-05,0.000175,2,0.366453,1
5.2e-05,0.000293,2,0.366453,1
5.3e-05,0.000215,2,0.366453,1
5.3e-05,0.000234,1,0.111769,0
4.9e-05,0.000204,1,0.111769,0
0.000336,0.001089,2,0.366453,1
4.7e-05,0.000276,2,0.366453,1
0.000332,0.000903,2,0.366453,1
0.00032,0.001093,2,0.366453,1
0.000204,0.000758,1,0.111769,0
0.000131,0.000461,2,0.366453,1
0.000102,0.000374,2,0.366453,1
8.8e-05,0.000221,2,0.366453,1
6.9e-05,0.000165,2,0.330703,0.836498
6.4e-05,0.000136,1,0.111769,0
5.3e-05,0.000137,2,0.366453,1
5e-05,0.000144,2,0.366453,1
5e-05,0.00018,2,0.366453,1
5.2e-05,0.000138,2,0.366453,1
5.1e-05,0.000151,2,0.347469,0.836498
5e-05,0.00017,2,0.366453,1
5e-05,0.000129,2,0.366453,1
5e-05,0.000205,2,0.366453,1
5e-05,0.000141,2,0.366453,1
5.1e-05,0.000185,2,0.366453,1
5.2e-05,0.000213,1,0.111769,0
5.1e-05,0.000139,2,0.366453,1
5.2e-05,0.000225,2,0.366453,1
5e-05,0.000187,1,0.111769,0
5e-05,0.000208,1,0.111769,0
5.9e-05,0.00014,2,0.366453,1
5.1e-05,0.000203,1,0.111769,0
5.3e-05,0.000157,2,0.366453,1
5e-05,0.0002,1,0.111769,0
5e-05,0.000138,2,0.366453,1
5.1e-05,0.000147,2,0.366453,1
5.1e-05,0.000204,2,0.366453,1
5.2e-05,0.000224,1,0.111769,0
6.5e-05,0.000135,2,0.366453,1
5.2e-05,0.000151,2,0.366453,1
5e-05,0.000166,2,0.366453,1
4.9e-05,0.000167,2,0.366453,1
5.3e-05,0.000169,1,0.111769,0
5.5e-05,0.000163,2,0.366453,1
6.1e-05,0.000202,2,0.366453,1
5.8e-05,0.000201,2,0.366453,1
5.5e-05,0.000195,2,0.366453,1
4.9e-05,0.000147,2,0.366453,1
5e-05,0.000137,2,0.366453,1
4.9e-05,0.000134,2,0.330703,0.836498
5e-05,0.000187,1,0.111769,0
6.6e-05,0.0002,1,0.111769,0
4.9e-05,0.000148,2,0.366453,1
4.7e-05,0.000184,2,0.366453,1
4.7e-05,0.000213,1,0.111769,0
